temp_C,humidity_pct,pressure_hPa,gas_res_ohm,co_ppm,co2_ppm,so2_ppm,no2_ppm,ch4_ppm
24.36350297118406,32.959305018703375,976.1705683735906,705.4326947880082,28.7127471324442,221.06895731782916,34.90334310803401,23.09647224426192,18.381584970734057
38.767857660247905,57.93306631648507,974.6978799072,817.0132574722351,38.329771094394374,232.61184817862193,38.59030541464239,20.59339784778509,27.150995536809578
33.29984854528513,81.10620851134857,1040.6254580521036,325.4211089132491,37.94926988496844,243.60478743158546,16.817076880651225,29.35340971274941,20.176372087102443
29.966462104925917,71.25574204866928,974.9546199849506,662.386689646299,38.63947464291726,234.11824186326794,28.970054407222218,29.239239762829744,21.549827538103845
18.900466011060914,76.45928035030148,977.1949726128631,614.5713848293739,30.09256555952594,222.6599684804503,30.544655676260163,23.43623007738638,16.144013778531367
18.899863008405067,66.11483566975022,1025.9398262417963,849.547339109444,25.811380359311876,216.73149588772537,42.50941752006253,22.532725261321954,16.605915528768314
16.452090304204987,68.45935951624966,994.973984245054,915.4783544331344,22.99203966581247,223.26165230993686,47.36311848754715,31.483729311610624,16.638442326003105
36.654403644373375,79.44369560957236,1027.6710556955181,110.94109432964812,33.401166471299796,249.75689491126442,7.494299215338101,26.662511756353847,19.320615693161635
30.02787529358022,37.47676062014301,956.5366157564386,706.6179271529134,24.307347300035783,222.6824223934869,34.32375711983023,26.28625191497454,23.978004210977947
32.70181444490114,54.259747455019834,998.7571193673384,146.6522192077561,33.41909890855718,232.46310661836148,7.03138293112794,24.93912413725526,17.703616876114374
15.51461235739506,35.484660927372154,953.3613600183282,593.9727985696204,17.91958610683473,228.57849292686893,28.16639826725968,22.1298288422798,14.782256428055366
39.247746304049855,89.13676055976529,956.2653203455354,358.8694561393104,44.28506668021772,221.08387189502756,15.687347697350132,29.354220561377176,23.25112288220235
35.81106602001054,86.08415377806293,1040.643745334441,376.0989395699271,39.00204883994024,228.75870195483003,19.424736537257626,26.76929371425579,21.182863768266973
20.308477766956905,22.759876795795414,963.9245371117595,417.66265310712095,20.02343288064192,221.76964633465258,18.33596155816285,21.951969852301666,14.084140990435223
19.545624180177516,69.3902620760982,1003.2420682275217,659.1632041446491,24.004231113185295,226.0331539629884,32.128906406088724,25.859399327687978,16.196024419506365
19.585112746335845,84.7673822190966,991.1095602600707,400.6449691018923,39.10291060811428,218.80513017766316,18.041900535296143,24.33744909689598,14.402651803147583
22.60605607398844,32.64027415891334,984.7343326258842,759.4291455312524,16.0840251900346,226.80811489035594,39.07082364914314,23.971160292588216,20.271930759883297
28.11891079080595,59.756166138684065,1039.9833345687273,464.07464701648274,28.224129050243018,246.62560157088376,26.806592549357116,25.985359884609206,19.059882713254122
